path,sentence
common_voice_hy-AM_26078953.wav,Ժաբոն օձիքի տարատեսակ է։
common_voice_hy-AM_26078954.wav,Հետպատերազմյան շրջանում դարձել է պրոֆեսիոնալ լրագրող։
common_voice_hy-AM_26078955.wav,Ան նաեւ աջակցած է բժիշկներ առանց սահմաններու կազմակերպութեանը։
common_voice_hy-AM_26078956.wav,Մասնակիցները հնարավորություններ են փնտրում աշխատանքները շարունակելու համար։
common_voice_hy-AM_26078957.wav,Ժամանակ առ ժամանակ եղել է կենտրոնացված իշխանություն։
common_voice_hy-AM_26079004.wav,Այս թեմատիկայով ստեղծված առաջին հուշարձանն է աշխարհում։
common_voice_hy-AM_26079005.wav,Նրա պատանեկության մասին քիչ է հաղորդվում։
common_voice_hy-AM_26079006.wav,"Ճակատային պատերի համար օգտագործված են կոպտատաշ, իսկ թաղի համար՝ սրբատաշ քարեր։"
common_voice_hy-AM_26079007.wav,"Մզկիթը գործածվում էր որպես պալատ, իսկ գմբեթը ծառայում էր եկեղեցուն։"
common_voice_hy-AM_26079008.wav,Թանգարանը ունի բժշկական հին գործիքների լայնածավալ հավաքածու։
common_voice_hy-AM_26079239.wav,"«Աստվածածնա պարը» դանդաղ, հանդիսավոր պար է։"
common_voice_hy-AM_26079240.wav,Ճապոնիայից դուրս այս տարբերությունը ավելի քիչ նշանակություն է ստացել։
common_voice_hy-AM_26079241.wav,"Աննա կը տիրապետէր՝ էսթոներէնին, ռուսերէնին, ֆրանսերէնին, անգլերէնին եւ գերմաներէնին։"
common_voice_hy-AM_26079242.wav,Ես նույնպես կարոտում եմ խմբի բոլոր անդամներին։
common_voice_hy-AM_26079243.wav,Քրիստոս կրնար հեշտութեամբ իր վրայ գրաւել մարդոց ուշադրութիւնը։
common_voice_hy-AM_26079328.wav,Շինությունն ունի երեք մուտք։
common_voice_hy-AM_26079329.wav,Երկրորդ շվատումը կատարվում է լրիվ ծաղկումից անմիջապես հետո։
common_voice_hy-AM_26079330.wav,Ճանապարհին նրանք բազմաթիվ արկածներ են ունենում։
common_voice_hy-AM_26079331.wav,Կիկվիտը առևտրական և վարչական կարևոր կենտրոն է։
common_voice_hy-AM_26079332.wav,Երկրորդ համաշխարհային պատերազմից հետո այստեղ զարգացել է տուրիզմը։
common_voice_hy-AM_26079422.wav,Լիզան պետք է ընտրի՝ ո՞ւմ հետ է պատրաստ կապել իր կյանքը։
common_voice_hy-AM_26079423.wav,Խիզախ դալմատին է։
common_voice_hy-AM_26079424.wav,"Խաչգյուղի շրջակայքում պահպանվել են միջնադարյան եկեղեցի, խաչքարեր և գյուղատեղիներ։"
common_voice_hy-AM_26079425.wav,Հետաքրքրասեր է. վտանգի պահին թաքստոցից դուրս է նետվում՝ հեռացնելու թշնամիներին։
common_voice_hy-AM_26079426.wav,Իսկ ավելի ուշ ստացել է բժշկական դոկտորի կոչում։
common_voice_hy-AM_26099929.wav,"Չափազանց չորադիմացկուն է, լուսասեր, ոչ պահանջկոտ հողի նկատմամբ։"
common_voice_hy-AM_26099930.wav,Եկեղեցին մեկ քահանա ուներ։
common_voice_hy-AM_26099931.wav,Նա եղել է խմբի ամենաերիտասարդ մասնակիցը։
common_voice_hy-AM_26099932.wav,Բուսական և կենդանական աշխարհը լավ է զարգացած։
common_voice_hy-AM_26099934.wav,"Այն, ըստ էության, արտահայտում է հենց այդ կրոնափիլիսոփայության տարածման բնույթը։"
common_voice_hy-AM_26099986.wav,Ոչ մի ուրիշ երկիր այդքան հաճախ չի ներկայացված եղել։
common_voice_hy-AM_26099987.wav,"Ունի հաստ մաշկ, հսկա գլուխ։"
