wav_path,transcript,duration
common_voice_hy-AM_26078953.wav,ժաբոն օձիքի տարատեսակ է,4.428
common_voice_hy-AM_26078954.wav,հետպատերազմյան շրջանում դարձել է պրոֆեսիոնալ լրագրող,5.796
common_voice_hy-AM_26078955.wav,ան նաեւ աջակցած է բժիշկներ առանց սահմաններու կազմակերպութեանը,7.956
common_voice_hy-AM_26078956.wav,մասնակիցները հնարավորություններ են փնտրում աշխատանքները շարունակելու համար,8.028
common_voice_hy-AM_26078957.wav,ժամանակ առ ժամանակ եղել է կենտրոնացված իշխանություն,6.408
common_voice_hy-AM_26079004.wav,այս թեմատիկայով ստեղծված առաջին հուշարձանն է աշխարհում,6.768
common_voice_hy-AM_26079005.wav,նրա պատանեկության մասին քիչ է հաղորդվում,5.76
common_voice_hy-AM_26079006.wav,ճակատային պատերի համար օգտագործված են կոպտատաշ իսկ թաղի համար սրբատաշ քարեր,10.296
common_voice_hy-AM_26079007.wav,մզկիթը գործածվում էր որպես պալատ իսկ գմբեթը ծառայում էր եկեղեցուն,9.072
common_voice_hy-AM_26079008.wav,թանգարանը ունի բժշկական հին գործիքների լայնածավալ հավաքածու,7.884
common_voice_hy-AM_26079239.wav,աստվածածնա պարը դանդաղ հանդիսավոր պար է,5.652
common_voice_hy-AM_26079240.wav,ճապոնիայից դուրս այս տարբերությունը ավելի քիչ նշանակություն է ստացել,6.12
common_voice_hy-AM_26079241.wav,աննա կը տիրապետէր էսթոներէնին ռուսերէնին ֆրանսերէնին անգլերէնին եւ գերմաներէնին,9.72
common_voice_hy-AM_26079242.wav,ես նույնպես կարոտում եմ խմբի բոլոր անդամներին,6.192
common_voice_hy-AM_26079243.wav,քրիստոս կրնար հեշտութեամբ իր վրայ գրաւել մարդոց ուշադրութիւնը,7.344
common_voice_hy-AM_26079328.wav,շինությունն ունի երեք մուտք,4.176
common_voice_hy-AM_26079329.wav,երկրորդ շվատումը կատարվում է լրիվ ծաղկումից անմիջապես հետո,6.876
common_voice_hy-AM_26079330.wav,ճանապարհին նրանք բազմաթիվ արկածներ են ունենում,4.896
common_voice_hy-AM_26079331.wav,կիկվիտը առտրական վարչական կարոր կենտրոն է,5.832
common_voice_hy-AM_26079332.wav,երկրորդ համաշխարհային պատերազմից հետո այստեղ զարգացել է տուրիզմը,7.056
common_voice_hy-AM_26079422.wav,լիզան պետք է ընտրի ում հետ է պատրաստ կապել իր կյանքը,6.336
common_voice_hy-AM_26079423.wav,խիզախ դալմատին է,4.896
common_voice_hy-AM_26079424.wav,խաչգյուղի շրջակայքում պահպանվել են միջնադարյան եկեղեցի խաչքարեր գյուղատեղիներ,9.072
common_voice_hy-AM_26079425.wav,հետաքրքրասեր է վտանգի պահին թաքստոցից դուրս է նետվում հեռացնելու թշնամիներին,8.388
common_voice_hy-AM_26079426.wav,իսկ ավելի ուշ ստացել է բժշկական դոկտորի կոչում,6.228
common_voice_hy-AM_26099929.wav,չափազանց չորադիմացկուն է լուսասեր ոչ պահանջկոտ հողի նկատմամբ,8.604
common_voice_hy-AM_26099930.wav,եկեղեցին մեկ քահանա ուներ,4.032
common_voice_hy-AM_26099931.wav,նա եղել է խմբի ամենաերիտասարդ մասնակիցը,5.544
common_voice_hy-AM_26099932.wav,բուսական կենդանական աշխարհը լավ է զարգացած,5.724
common_voice_hy-AM_26099934.wav,այն ըստ էության արտահայտում է հենց այդ կրոնափիլիսոփայության տարածման բնույթը,9.792
common_voice_hy-AM_26099986.wav,ոչ մի ուրիշ երկիր այդքան հաճախ չի ներկայացված եղել,6.408
common_voice_hy-AM_26099987.wav,ունի հաստ մաշկ հսկա գլուխ,4.356
common_voice_hy-AM_26099989.wav,բյուզանդացիները աջակցեցին իշխանին սակայն պարտություն կրեցին,7.308
common_voice_hy-AM_26099990.wav,զբաղվում էին հողագործությամբ այգեգործությամբ անասնապահությամբ,7.524
common_voice_hy-AM_26100021.wav,դրա արդյունքներով վճարումների գումարը կազմել է մեկուկես միլիարդ դոլար,7.488
common_voice_hy-AM_26100022.wav,սպիտակավիզ արագիլը հանդիպում է զույգերով կամ փոքր խմբերով ջրային տարածքների մոտ,7.956
common_voice_hy-AM_26100023.wav,ստեղծագործել սկսել է վաղ տարիքից,5.94
common_voice_hy-AM_26100024.wav,լեռնաշղթաները սովորաբար անվանում են բլուրներ կամ լեռներ կախված չափից,7.776
common_voice_hy-AM_26100025.wav,երգը բազում անգամներ հայտնվում է գրքերում սերիաներում,7.74
common_voice_hy-AM_26100200.wav,քաղցրահամ է սառնորակ ջուր ունի,4.86
common_voice_hy-AM_26100201.wav,սնվում է բույսի արմատներով,3.888
common_voice_hy-AM_26100204.wav,առաջին համաշխարհային պատերազմի ժամանակ խփել է թշնամու ինը օդանավ,8.352
common_voice_hy-AM_26185054.wav,սովորել է տեղի միջնակարգ դպրոցում,5.148
common_voice_hy-AM_26185055.wav,հազվադեպ է լինում որ միայն մեկ աչքն է տուժում,6.084
common_voice_hy-AM_26185056.wav,պապիկը հանքային ինժեներ է ինչպես նա ռազմական օդաչու,6.984
common_voice_hy-AM_26185057.wav,այդ պատճառով համայնքը դժվարությամբ է կազմակերպում գյուղմթերքների արտադրությունը,8.1
common_voice_hy-AM_26185058.wav,տղայի ստացած առաջին կրթությունը եղել է պապիկի հսկայական գրադարանի գրքերի ընթերցումը,10.008
common_voice_hy-AM_26185100.wav,այդ նկարներից մի քանիսը նույնիսկ անցել են նյարդաբանության դասագրքեր,7.812
common_voice_hy-AM_26185101.wav,բենի խաղը նկատվել է քննադատների կողմից արժանացել է լավ կարծիքների,9.648
common_voice_hy-AM_26185102.wav,ակումբի հիմնադրման հստակ տարեթիվը հայտնի չէ,5.292
common_voice_hy-AM_26185103.wav,նա ինքը նկարագրել է այդ հրավերը հավաքական մեծ անակնկալ,7.632
common_voice_hy-AM_26185157.wav,լինում են նա եկեղեցու անունը կրող սրբի պատկերով խաչվառներ,7.236
common_voice_hy-AM_26185158.wav,սահմանի հակառակ կողմում նույն պատկերն է,5.184
