wav_path,transcript,duration
common_voice_hy-AM_39478106.wav,"Նա ցնցվեց, կանգ առավ և ականջ դրեց:",3.528
common_voice_hy-AM_39499304.wav,Այդպես էր նաև այս համալիրի անվանումներում։,4.068
common_voice_hy-AM_39325707.wav,Ագրեգատային հաստոցներից հավաքվում են ավտոմատ գծեր։,4.716
common_voice_hy-AM_39475009.wav,Մանարոլայի տնտեսության հիմնական մասը ավանդաբար եղել են ձկնորսությունը և գինեգործությունը։,7.668
common_voice_hy-AM_39477713.wav,Նրանց ստեղծումը կապված է կավի սալիկների վրա սեպագրով գրելու հետ։,5.436
common_voice_hy-AM_39991013.wav,"- Պարոն Շահյան, խնդրեմ:",2.808
common_voice_hy-AM_39544953.wav,"Մուսուլմանները խուճապահար փախուստի մատնվեցին, հետապնդման ընթացքում ոչնչացվեցին մուսուլմանական շատ ջոկատներ։",7.596
common_voice_hy-AM_39464247.wav,Սիմֆոնիա չի կարող կատարվել առանց հատուկ սարքավորումների գնման։,4.5
common_voice_hy-AM_39465568.wav,Ներկայումս այդ ձևն անվանում են «կանոնական»։,3.6
common_voice_hy-AM_39465526.wav,"«Դուք ակնկալում եք, որ սցենարները պոռնո կառուցվածք ունե՞ն»։",4.356
common_voice_hy-AM_39452557.wav,Այս դերին հաջորդեին հեռուստատեսային շատ դերեր։,5.256
common_voice_hy-AM_39472655.wav,"Վերջինս, որպես կանոն, առավել խիստ տուժած հատվածն է լինում։",3.996
common_voice_hy-AM_39474627.wav,"Նրա պոեզիայում բացահայտվում է մարդը, աշխարհը, ճշմարտությունը և աստվածայինը։",5.04
common_voice_hy-AM_39459476.wav,Հայոց արքան միաժամանակ վարչական բարեփոխումներ իրականացրեց երկրում։,6.588
common_voice_hy-AM_40003451.wav,Երաժշտական գործինքները սովորելու տարիներին ուսանողներին տրվում էր անվճար։,5.688
common_voice_hy-AM_39552483.wav,Լոզանի պայմանագիրը չեղյալ չի հայտարարել Սևրի պայմանագիրը։,4.788
common_voice_hy-AM_39991772.wav,"Թատրոնի ուղին հարթ չի ընթացել թե ստեղծագործական, թե կազմակերպչական առումով։",5.94
common_voice_hy-AM_39465207.wav,Նրա իրական ճակատագիրն անհայտ է։,2.916
common_voice_hy-AM_39470811.wav,Թռչում է մոխրագույն կռունկի նման։,3.24
common_voice_hy-AM_39473782.wav,"Մայրը մաթեմատիկայի ուսուցչուհի է, հայրը՝ ռուսաց լեզվի ու գրականության, պատմության։",7.416
common_voice_hy-AM_39989423.wav,Արաբական բանահյուսությունից սիրավեպի պատմությունն անցել է պարսկական գրականություն։,6.66
common_voice_hy-AM_39993704.wav,"Առաջիններից է եղել իր բնագավառում, ովքեր կատարել են դիահերձում։",5.184
common_voice_hy-AM_39995147.wav,Նույնիսկ մահվան թվականն ու վայրն է անհայտ։,4.284
common_voice_hy-AM_39463483.wav,Նրա մարտական կիրառման մասին չկան վկայություններ։,4.176
common_voice_hy-AM_39452218.wav,Բնադրազույգերը կազմվում են մայիսի սկզբից։,4.14
common_voice_hy-AM_39992954.wav,Կլիման բարեխառն է՝ համեմատաբար տաք ամառներով և չափավոր ցուրտ ձմեռներով։,6.48
common_voice_hy-AM_39472138.wav,"Մերժողներից մեկն էլ, ահա՛, մեր այս օրիորդն է:",3.636
common_voice_hy-AM_39471345.wav,Աշխատանքների մեծ մասը առարկայական կոմպոզիցիաներ են և բնապատկերներ։,5.436
common_voice_hy-AM_39543271.wav,Այն որոշիչ դեր ունի երկրի տնտեսության զարգացման գործում։,4.176
common_voice_hy-AM_39471249.wav,Բանկի զանգվածեղ պարզեցված ճակատի տեսքը ակնհայտորեն պարտական է դասականությանը։,6.48
common_voice_hy-AM_27126908.wav,"Գոյություն ունի տասը բարբառ, որոնցից յուրաքանչյուրով խոսում է մի ցեղ։",7.776
common_voice_hy-AM_39451984.wav,"Կարինն էլ իր հերթին, երես առած, թեթևամիտ կույս է։",5.256
common_voice_hy-AM_39544976.wav,"Քույրը՝ խորհրդատվական ընկերության աշխատակից, եղբայրը՝ զինվորական թոշակառու։",6.228
common_voice_hy-AM_40006305.wav,մայմուն խո չե՞ն խաղացնում ըստեղ:,3.6
common_voice_hy-AM_39473030.wav,Եղել է ականանետային հաշվարկի հրամանատար։,3.456
common_voice_hy-AM_39543468.wav,"Պոչը ունի նույն երկարությունը, ինչ որ մարմինը։",3.888
common_voice_hy-AM_39535428.wav,"- Ես գիտեի, որ այդ պիտի ասեք, որովհետև ուրիշ օրինակ չեք կարող բերել:",4.716
common_voice_hy-AM_39436644.wav,Տներն այստեղ եղել են միայն զույգ կողմում։,3.528
common_voice_hy-AM_39469758.wav,"- Ես կարծում եմ, որ դուք.",2.556
common_voice_hy-AM_39459473.wav,"Մագնեզիումով հարուստ տարբերակը կոչվում է ֆլոզոպիու, իսկ երկաթի գերակշռության դեպքում՝ լեպիդոմելան։",8.676
common_voice_hy-AM_39522906.wav,"Ի սկզբանե, Բուդատին ամրոցը եղել է թագավորական։",4.32
common_voice_hy-AM_39542707.wav,Այս դիմումը ևս մնաց անհետևանք։,3.168
common_voice_hy-AM_39447863.wav,Այսինքն այս դեպքում տելեպորտացիան հաջողված է։,5.148
